TITLE,RELEASE_YEAR,SCORE,NUMBER_OF_VOTES,DURATION,NUMBER_OF_SEASONS,MAIN_GENRE,MAIN_PRODUCTION,contentType,description,contentRating,genre,formattedDuration,releasedDate,Hours Viewed,actors,director,creator,audio,subtitle,numberOfSeasons,seasonStartDate
Sex Education,2019,8.3,251168,52,4,drama,GB,TVSeries,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic.",18,TV Dramas,,1/11/19,"27,900,000","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie, Aimee Lou Wood, Mimi Keene, Chaneil Kular, Tanya Reynolds, Patricia Allison, Mikael Persbrandt, Rakhee Thakrar, Jemima Kirke, Anne-Marie Duff",,Laurie Nunn,,,3,1/11/19
Shadow and Bone,2021,7.6,77782,52,1,scifi,US,TVSeries,Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,16,TV Shows Based on Books,,4/23/21,"99,500,000","Jessie Mei Li, Archie Renaux, Ben Barnes, Freddy Carter, Amita Suman, Kit Young, Danielle Galligan, Calahan Skogman, Sujaya Dasgupta, Simon Sears, Daisy Head, Zoë Wanamaker, Luke Pasqualino, Julian Kostov",,,,,1,4/23/21
Shameless,2011,8.6,230243,54,11,drama,US,,,,,,,,,,,,,,
She-Ra and the Princesses of Power,2018,7.8,14935,24,5,scifi,US,,,,,,,,,,,,,,
Shooter,2016,7.5,35547,41,3,war,US,,,,,,,,,,,,,,
Spinning Out,2020,7.6,13692,50,1,drama,US,,,,,,,,,,,,,,
Squid Game,2021,8,416738,54,2,action,KR,TVSeries,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",18,TV Thrillers,,9/17/21,"87,200,000","Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi",,Hwang Dong-hyuk,,,1,9/17/21
Star Trek: Deep Space Nine,1993,8.1,61145,47,7,scifi,US,,,,,,,,,,,,,,
Stargate SG-1,1997,8.4,90196,44,10,scifi,US,,,,,,,,,,,,,,
Stranger Things,2016,8.7,989090,52,5,scifi,US,TVSeries,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",16,Horror TV Serials,,7/15/16,"77,800,000","Winona Ryder, David Harbour, Finn Wolfhard, Millie Bobby Brown, Gaten Matarazzo, Caleb McLaughlin, Noah Schnapp, Sadie Sink, Natalia Dyer, Charlie Heaton, Joe Keery, Maya Hawke, Priah Ferguson, Brett Gelman, Dacre Montgomery, Cara Buono, Matthew Modine, Paul Reiser, Sean Astin, Shannon Purser",,The Duffer Brothers,,,3,7/15/16
Suburra: Blood on Rome,2017,7.9,14346,48,3,crime,IT,,,,,,,,,,,,,,
Supernatural,2005,8.5,428639,45,15,scifi,US,,,,,,,,,,,,,,
Sweet Tooth,2021,7.8,49182,45,2,scifi,US,TVSeries,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",16,Fantasy TV Shows,,6/4/21,"89,000,000","Nonso Anozie, Christian Convery, Adeel Akhtar, Stefania LaVie Owen, Dania Ramirez, Aliza Vellani, Will Forte, James Brolin, Neil Sandilands, Mia Artemis",,,,,1,6/4/21
Sword Art Online,2012,7.6,43727,23,4,scifi,JP,,,,,,,,,,,,,,
Tabula Rasa,2017,8,10161,52,1,drama,BE,,,,,,,,,,,,,,
Teenage Bounty Hunters,2020,7.6,10821,49,1,action,US,,,,,,,,,,,,,,
The 100,2014,7.6,242221,42,7,drama,US,,,,,,,,,,,,,,
The Blacklist,2013,8,238138,43,9,drama,US,,,,,,,,,,,,,,
The Borgias,2011,7.9,50556,51,3,drama,CA,,,,,,,,,,,,,,
The Chestnut Man,2021,7.7,41253,55,1,crime,DK,TVSeries,"At a grisly murder scene sits a figurine made of chestnuts. From this creepy clue, two detectives hunt a killer linked to a politician's missing child.",18,TV Mysteries,,9/29/21,"12,400,000","Danica Curcic, Mikkel Boe Følsgaard, Iben Dorner, Esben Dalgaard, David Dencik, Lars Ranthe",Mikkel Serup,"Søren Sveistrup, Dorte W. Høgh, David Sandreuter, Mikkel Serup",,,1,9/29/21
The Crown,2016,8.7,190878,56,5,drama,US,TVSeries,"Based on historical events, this series dramatizes the story of Queen Elizabeth II and the political and personal events that have shaped her reign.",18,TV Dramas,,11/4/16,"42,400,000","Olivia Colman, Helena Bonham Carter, Tobias Menzies, Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Gillian Anderson, Josh O'Connor, Emma Corrin, Marion Bailey, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser, Ben Daniels, Jason Watkins, Charles Dance, Emerald Fennell, Erin Doherty",,Peter Morgan,,,4,11/4/16
The Dark Crystal: Age of Resistance,2019,8.4,24164,51,1,scifi,GB,,,,,,,,,,,,,,
The Devil Next Door,2019,7.6,13084,46,1,documentary,US,,,,,,,,,,,,,,
The Dragon Prince,2018,8.4,21635,27,3,scifi,US,,,,,,,,,,,,,,
The End of the F***ing World,2017,8.1,177868,21,2,crime,GB,,,,,,,,,,,,,,
The Flash,2014,7.6,336888,42,8,scifi,US,,,,,,,,,,,,,,
The Get Down,2016,8.2,22304,62,2,drama,US,,,,,,,,,,,,,,
The Good Place,2016,8.2,148562,23,4,scifi,US,,,,,,,,,,,,,,
The Haunting of Hill House,2018,8.6,226817,58,1,drama,US,TVSeries,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",18,TV Mysteries,,10/12/18,"22,000,000","Michiel Huisman, Carla Gugino, Timothy Hutton, Henry Thomas, Elizabeth Reaser, Oliver Jackson-Cohen, Kate Siegel, Victoria Pedretti, Lulu Wilson, Mckenna Grace, Paxton Singleton, Julian Hilliard, Violet McGraw",,Mike Flanagan,,,1,10/12/18
The Heirs,2013,7.5,10329,59,1,drama,KR,,,,,,,,,,,,,,
The Innocent,2021,7.8,29019,58,1,crime,ES,,,,,,,,,,,,,,
The IT Crowd,2006,8.5,147409,25,5,comedy,GB,,,,,,,,,,,,,,
The Kominsky Method,2018,8.2,38232,26,3,drama,US,TVSeries,Acting coach Sandy Kominsky and best friend Norman Newlander keep each other laughing as they navigate the ups and downs of getting older.,18,Sitcoms,,11/16/18,"3,400,000","Michael Douglas, Alan Arkin, Sarah Baker, Nancy Travis, Susan Sullivan, Lisa Edelstein, Paul Reiser, Jane Seymour, Kathleen Turner, Haley Joel Osment, Melissa Tang, Graham Rogers, Casey Thomas Brown, Jenna Lyng Adams, Ashleigh LaThrop, Emily Osment, Ann-Margret, Danny DeVito",,Chuck Lorre,,,3,11/16/18
The Last Dance,2020,9.1,108321,50,1,documentary,US,,,,,,,,,,,,,,
The Last Kingdom,2015,8.5,126473,55,5,action,GB,,,,,,,,,,,,,,
The Legend of Korra,2012,8.4,117464,23,4,action,US,,,,,,,,,,,,,,
The Magicians,2015,7.6,49557,44,5,drama,US,,,,,,,,,,,,,,
The Mechanism,2018,8,36077,47,2,drama,BR,,,,,,,,,,,,,,
The Night Shift,2014,7.5,12069,42,4,drama,US,,,,,,,,,,,,,,
The OA,2016,7.9,100911,55,2,scifi,US,TVSeries,"Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission.",18,TV Mysteries,,12/16/16,"15,300,000","Brit Marling, Jason Isaacs, Emory Cohen, Patrick Gibson, Kingsley Ben-Adir, Scott Wilson, Alice Krige, Phyllis Smith, Brendan Meyer, Brandon Perea, Ian Alexander, Will Brill, Paz Vega, Chloe Levine, Sharon Van Etten, Riz Ahmed",,"Brit Marling, Zal Batmanglij",,,2,12/16/16
The Originals,2013,8.3,131574,43,5,scifi,US,,,,,,,,,,,,,,
The Politician,2019,7.5,21887,43,2,comedy,US,,,,,,,,,,,,,,
The Promised Neverland,2019,8.4,34730,23,2,scifi,JP,,,,,,,,,,,,,,
The Queen's Gambit,2020,8.6,406350,56,1,drama,US,TVSeries,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",18,TV Shows Based on Books,,10/23/20,"45,900,000","Anya Taylor-Joy, Bill Camp, Marielle Heller, Thomas Brodie-Sangster, Moses Ingram, Harry Melling, Isla Johnston, Christiane Seidel, Rebecca Root, Chloe Pirrie, Jacob Fortune-Lloyd",,"Scott Frank, Allan Scott",,,1,10/23/20
The Serpent,2021,7.6,41782,57,1,drama,GB,TVSeries,"In the 1970s, merciless killer Charles Sobhraj preys on travelers exploring the ""hippie trail"" of South Asia. Based on shocking true events.",18,TV Thrillers,,4/2/21,"9,200,000","Tahar Rahim, Jenna Coleman, Billy Howle, Ellie Bamber, Amesh Edireweera, Tim McInnerny, Damon Herriman",,,,,1,4/2/21
The Seven Deadly Sins,2014,7.9,30341,24,5,action,JP,,,,,,,,,,,,,,
The Sinner,2017,7.9,117055,45,4,crime,US,,,,,,,,,,,,,,
The Spy,2019,7.9,40535,53,1,drama,FR,,,,,,,,,,,,,,
The Staircase,2004,7.8,21531,49,2,crime,FR,TVSeries,"Accident or murder? After the mysterious death of his wife, author Michael Peterson watches his life go under the microscope.",18,TV Mysteries,,6/8/18,"4,800,000",,,,,,1,6/8/18
The Trials of Gabriel Fernandez,2020,8.1,10982,55,1,crime,US,,,,,,,,,,,,,,
The Umbrella Academy,2019,8,202522,52,3,comedy,US,TVSeries,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity.",16,TV Action & Adventure,,2/15/19,"30,600,000","Elliot Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman, Robert Sheehan, Aidan Gallagher, Justin H. Min, Ritu Arya, Yusuf Gatewood, Marin Ireland, Adam Godley, Kate Walsh, Colm Feore, Cameron Britton, Mary J. Blige",,Steve Blackman,,,2,2/15/19
The Vampire Diaries,2009,7.7,310776,42,8,scifi,US,,,,,,,,,,,,,,
The Walking Dead,2010,8.2,945125,46,11,action,US,,,,,,,,,,,,,,
The Witcher,2019,8.2,465949,58,2,scifi,US,,,,,,,,,,,,,,
Top Boy,2011,8.4,22420,48,2,drama,GB,,,,,,,,,,,,,,
Toradora!,2008,8,14307,30,2,animation,JP,,,,,,,,,,,,,,
Trailer Park Boys,2001,8.6,41791,25,12,comedy,CA,,,,,,,,,,,,,,
Travelers,2016,8,54566,45,3,scifi,CA,,,,,,,,,,,,,,
Trollhunters: Tales of Arcadia,2016,8.4,16509,22,3,action,US,,,,,,,,,,,,,,
True Story,2021,7.5,16927,39,1,drama,US,,,,,,,,,,,,,,
Unbelievable,2019,8.4,95658,48,1,drama,US,TVSeries,"After a young woman is accused of lying about a rape, two female detectives investigate a spate of eerily similar attacks. Inspired by true events.",18,TV Dramas,,9/13/19,"27,100,000","Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel",,,,,1,9/13/19
Unbreakable Kimmy Schmidt,2015,7.6,70242,30,4,comedy,US,,,,,,,,,,,,,,
Undercover,2019,7.8,16773,49,3,drama,BE,TVSeries,The lines begin to blur for a pair of undercover cops as they try to infiltrate a drug kingpin's operation by posing as a couple and moving in next door.,18,TV Thrillers,,5/3/19,"11,200,000","Tom Waes, Frank Lammers, Nazmiye Oral, Murat Seven, Gökhan Girginol, Gökhan Kizilbuga, Elise Schaap, Yannick van de Velde, Jeroen Van der Ven, Manou Kersting, Ruth Becquart, Sebastien Dewaele, Anna Drijver, Emma Verlinden, Raymond Thiry, Wim Willaert",,Nico Moolenaar,,,3,5/3/19
Unorthodox,2020,8,74118,54,1,drama,DE,,,,,,,,,,,,,,
Versailles,2015,7.9,16273,54,3,drama,CA,,,,,,,,,,,,,,
Vincenzo,2021,8.4,15134,81,1,action,KR,,,,,,,,,,,,,,
Violet Evergarden,2018,8.4,19940,25,1,drama,JP,,,,,,,,,,,,,,
Wentworth,2013,8.6,21747,46,9,drama,AU,,,,,,,,,,,,,,
When They See Us,2019,8.9,114127,74,1,drama,US,,,,,,,,,,,,,,
Wild Wild Country,2018,8.1,29298,67,1,crime,US,,,,,,,,,,,,,,
Workin' Moms,2017,7.8,14892,22,6,comedy,CA,,,,,,,,,,,,,,
You,2018,7.7,225949,47,3,thriller,US,,,,,,,,,,,,,,
Young Royals,2021,8.3,26732,45,1,drama,SE,TVSeries,"Prince Wilhelm adjusts to life at his prestigious new boarding school, Hillerska, but following his heart proves more challenging than anticipated.",18,TV Dramas,,7/1/21,"8,600,000","Edvin Ryding, Omar Rudberg, Malte Gårdinger, Frida Argento, Nikita Uggla, Pernilla August",,,,,1,7/1/21
